\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2024-05-02 06:00:16,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2024-05-01,ABKENORA,HYDRO,Capability,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2024-05-01,ABKENORA,HYDRO,Output,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
2024-05-01,ADELAIDE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2024-05-01,ADELAIDE,WIND,Forecast,0,0,0,0,0,0,5,20,31,40,48,48,44,48,50,54,53,49,31,39,16,11,16,28,
2024-05-01,ADELAIDE,WIND,Output,0,0,0,0,0,1,11,25,33,42,50,48,44,49,51,55,55,48,31,38,12,11,17,33,
2024-05-01,AGUASABON,HYDRO,Capability,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
2024-05-01,AGUASABON,HYDRO,Output,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,47,48,48,48,47,47,
2024-05-01,ALEXANDER,HYDRO,Capability,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,
2024-05-01,ALEXANDER,HYDRO,Output,42,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
2024-05-01,AMARANTH,WIND,Available Capacity,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,
2024-05-01,AMARANTH,WIND,Forecast,0,0,0,0,1,6,3,1,13,15,21,43,89,132,136,137,105,79,58,75,28,26,19,38,
2024-05-01,AMARANTH,WIND,Output,0,0,0,0,4,5,0,0,17,16,24,52,102,143,144,142,107,76,63,76,27,24,22,40,
2024-05-01,AMHERST ISLAND,WIND,Available Capacity,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,
2024-05-01,AMHERST ISLAND,WIND,Forecast,3,1,0,0,0,0,0,0,0,0,0,1,4,11,10,7,3,2,5,3,7,37,58,58,
2024-05-01,AMHERST ISLAND,WIND,Output,3,1,0,0,0,0,0,0,0,0,0,2,5,12,10,7,2,3,5,4,9,41,64,53,
2024-05-01,APIROQUOIS,HYDRO,Capability,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
2024-05-01,APIROQUOIS,HYDRO,Output,88,88,88,88,88,88,87,87,87,87,88,87,87,87,87,87,87,87,87,87,87,87,87,87,
2024-05-01,ARMOW,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
2024-05-01,ARMOW,WIND,Forecast,0,0,0,0,0,2,9,44,71,86,104,132,147,151,168,152,147,103,40,52,82,58,52,32,
2024-05-01,ARMOW,WIND,Output,0,0,0,0,0,3,24,55,75,88,110,136,150,154,169,149,146,96,37,56,82,57,50,32,
2024-05-01,ARNPRIOR,HYDRO,Capability,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,
2024-05-01,ARNPRIOR,HYDRO,Output,38,38,1,0,31,35,35,36,36,36,36,1,0,0,35,38,1,37,38,38,38,38,38,38,
2024-05-01,ATIKOKAN-G1,BIOFUEL,Capability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-05-01,ATIKOKAN-G1,BIOFUEL,Output, , , , , , , , , , , , , , , , , , , , , , , , ,
2024-05-01,AUBREYFALLS,HYDRO,Capability,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,
2024-05-01,AUBREYFALLS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,127,130,128,127,4,0,0,
2024-05-01,BARRETT,HYDRO,Capability,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,
2024-05-01,BARRETT,HYDRO,Output,19,18,1,0,52,61,78,78,95,96,78,77,2,0,10,0,10,75,78,79,79,79,78,20,
2024-05-01,BECK1,HYDRO,Capability,445,445,445,445,445,445,445,445,445,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,
2024-05-01,BECK1,HYDRO,Output,410,409,410,406,410,365,384,186,203,323,294,214,159,140,140,289,395,436,442,442,440,440,415,363,
2024-05-01,BECK2,HYDRO,Capability,1570,1570,1570,1570,1570,1570,1470,1470,1470,1545,1545,1545,1545,1545,1545,1570,1570,1570,1570,1570,1570,1570,1570,1570,
2024-05-01,BECK2,HYDRO,Output,1317,1211,1200,1269,1204,1214,1074,1085,1153,1188,1208,1193,1006,963,1048,1270,1281,1171,1153,1171,1138,1141,1154,1134,
2024-05-01,BECK2 PGS,HYDRO,Capability,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
2024-05-01,BECK2 PGS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-05-01,BELLE RIVER,WIND,Available Capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2024-05-01,BELLE RIVER,WIND,Forecast,0,3,3,1,17,36,39,50,50,43,45,70,78,90,91,88,72,81,76,65,66,47,61,74,
2024-05-01,BELLE RIVER,WIND,Output,1,4,3,1,20,38,47,53,51,41,48,72,80,92,93,88,71,84,73,69,62,47,63,77,
2024-05-01,BLAKE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2024-05-01,BLAKE,WIND,Forecast,0,0,0,0,0,0,5,23,33,41,48,49,52,55,53,49,47,36,33,38,26,26,26,17,
2024-05-01,BLAKE,WIND,Output,0,0,0,0,0,1,16,28,34,43,49,50,54,56,54,49,48,33,37,37,23,29,25,16,
2024-05-01,BORNISH,WIND,Available Capacity,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
2024-05-01,BORNISH,WIND,Forecast,0,0,0,0,0,0,6,30,41,58,66,66,67,67,69,68,65,51,41,34,17,9,9,28,
2024-05-01,BORNISH,WIND,Output,0,0,0,0,0,1,17,37,44,63,67,67,67,68,70,68,65,48,42,30,14,9,10,32,
2024-05-01,BOW LAKE,WIND,Available Capacity,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
2024-05-01,BOW LAKE,WIND,Forecast,0,0,0,0,3,7,7,13,18,13,5,9,5,9,13,8,2,4,6,6,4,1,2,2,
2024-05-01,BOW LAKE,WIND,Output,0,0,0,0,5,7,8,15,19,11,7,8,6,10,15,7,3,5,6,6,3,1,3,3,
2024-05-01,BOW LAKE 2,WIND,Available Capacity,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
2024-05-01,BOW LAKE 2,WIND,Forecast,0,0,0,0,6,12,12,23,31,29,14,14,10,18,23,18,8,8,12,9,11,9,9,8,
2024-05-01,BOW LAKE 2,WIND,Output,1,0,0,0,9,12,18,28,32,28,14,12,12,18,26,16,7,10,12,9,13,9,9,8,
2024-05-01,BRIGHTON BEACH,GAS,Capability,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,
2024-05-01,BRIGHTON BEACH,GAS,Output,0,0,0,0,0,0,0,26,131,258,245,249,243,242,243,244,267,269,271,273,272,88,0,0,
2024-05-01,BRUCEA-G1,NUCLEAR,Capability,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,
2024-05-01,BRUCEA-G1,NUCLEAR,Output,765,765,765,765,765,765,765,765,765,765,766,766,767,765,761,761,762,763,767,767,768,765,763,764,
2024-05-01,BRUCEA-G2,NUCLEAR,Capability,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,
2024-05-01,BRUCEA-G2,NUCLEAR,Output,821,820,820,820,820,820,820,820,820,820,821,820,820,820,819,823,823,825,825,827,827,826,826,825,
2024-05-01,BRUCEA-G3,NUCLEAR,Capability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-05-01,BRUCEA-G3,NUCLEAR,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-05-01,BRUCEA-G4,NUCLEAR,Capability,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,
2024-05-01,BRUCEA-G4,NUCLEAR,Output,794,794,794,794,794,794,794,794,791,797,798,799,799,800,800,800,799,796,794,794,794,793,791,793,
2024-05-01,BRUCEB-G5,NUCLEAR,Capability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-05-01,BRUCEB-G5,NUCLEAR,Output,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2024-05-01,BRUCEB-G6,NUCLEAR,Capability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
