name,capability,source
BRUCE A-1,795,nuclear
BRUCE A-2,765,nuclear
BRUCE A-3,645,nuclear
BRUCE A-4,775,nuclear
BRUCE B-5,817,nuclear
BRUCE B-6,0,nuclear
BRUCE B-7,817,nuclear
BRUCE B-8,817,nuclear
DARLINGTON-1,830,nuclear
DARLINGTON-2,835,nuclear
DARLINGTON-3,0,nuclear
DARLINGTON-4,0,nuclear
PICKERING A-1,0,nuclear
PICKERING A-4,500,nuclear
PICKERING B-5,0,nuclear
PICKERING B-6,415,nuclear
PICKERING B-7,0,nuclear
PICKERING B-8,515,nuclear
AB KENORA,11,hydro
AGUASABON,0,hydro
ALEXANDER,37,hydro
AP IROQUOIS FALLS,93,hydro
ARNPRIOR,0,hydro
AUBREY FALLS,73,hydro
BARRETT CHUTE,109,hydro
BECK-I,383,hydro
BECK-II,"1,525",hydro
BECK-PGS,58,hydro
CAMERONFALLS,47,hydro
CANYON,140,hydro
CARIBOUFALLS,93,hydro
CARMICHAEL,20,hydro
CHATSFALLS,192,hydro
CHENAUX,79,hydro
CLERGUE,53,hydro
D.A. WATSON,17,hydro
DECEW FALLS 1,148,hydro
DECEW FALLS 2,16,hydro
DESJOACHIMS,238,hydro
EAR FALLS,0,hydro
FORT FRANCES,10,hydro
GARTSHORE FALLS,89,hydro
HARMON,156,hydro
HARMON 2,0,hydro
HARRIS,12,hydro
HOLDEN,132,hydro
HOLLINGSWORTH,0,hydro
KAKABEKA FALLS,25,hydro
KIPLING,152,hydro
KIPLING 2,0,hydro
LITTLE LONG 2,75,hydro
LITTLELONG,0,hydro
LONG SAULT RAPIDS,20,hydro
LOWER NOTCH,267,hydro
LOWER WHITE RIVER,2,hydro
MACKAY,62,hydro
MANITOU FALLS,53,hydro
MISSION FALLS,15,hydro
MOUNTAIN CHUTE,173,hydro
NAGAGAMI,9,hydro
OTTER RAPIDS,91,hydro
PETER SUTHERLAND SR,27,hydro
PINE PORTAGE,128,hydro
RAYNER,42,hydro
RED ROCK FALLS,37,hydro
RH SAUNDERS,939,hydro
SILVER FALLS,0,hydro
SMOKY FALLS 2,176,hydro
STEEPHILL FALLS,15,hydro
STEWARTVILLE,182,hydro
UMBATA FALLS,24,hydro
UPPER WHITE RIVER,4,hydro
WELLS,235,hydro
WHITEDOG FALLS,73,hydro
(DESTEC) KINGSTON,120,gas
(DOWCHEM) SARNIA,36,gas
BRIGHTON BEACH,565,gas
CARDINAL,184,gas
DUPONT,52,gas
EAST WINDSOR-1,46,gas
EAST WINDSOR-2,46,gas
GREENFIELD SOUTH-1,192,gas
GREENFIELD SOUTH-2,133,gas
GREENFIELD-1,0,gas
GREENFIELD-2,0,gas
GREENFIELD-3,0,gas
GREENFIELD-4,0,gas
GTAA-1,0,gas
GTAA-2,47,gas
GTAA-3,0,gas
HALTON HILLS-1,0,gas
HALTON HILLS-2,0,gas
HALTON HILLS-3,0,gas
KAPUSKASING,0,gas
KIRKLAND LAKE G1-G5,80,gas
LAKE SUPERIOR,0,gas
LENNOX-1 (OIL/GAS),0,gas
LENNOX-2 (OIL/GAS),525,gas
LENNOX-3 (OIL/GAS),525,gas
LENNOX-4 (OIL/GAS),525,gas
NAPANEE-G1,260,gas
NAPANEE-G2,260,gas
NAPANEE-G3,458,gas
NIPIGON,23,gas
NORTH BAY,0,gas
NP COCHRANE,0,gas
NP IROQUOIS FALLS,125,gas
NP KIRKLAND LAKE,26,gas
PORTLANDS-1,194,gas
PORTLANDS-2,194,gas
PORTLANDS-3,236,gas
SITHE GOREWAY-11,193,gas
SITHE GOREWAY-12,193,gas
SITHE GOREWAY-13,193,gas
SITHE GOREWAY-15,348,gas
ST. CLAIR SARNIA,618,gas
THOROLD COGEN,0,gas
TRANSALTA OTTAWA,70,gas
TRANSALTA SARNIA,510,gas
TRANSALTA WINDSOR,76,gas
TUNIS,59,gas
WHITBY COGEN,55,gas
WINDSOR COGEN,133,gas
YORK COGEN 1,0,gas
YORK COGEN 2,232,gas
ADELAIDE,5,wind
AMARANTH,13,wind
AMHERST ISLAND,0,wind
ARMOW,29,wind
BELLE RIVER,23,wind
BLAKE,1,wind
BORNISH,7,wind
BOW LAKE,0,wind
BOW LAKE 2,1,wind
CEDAR POINT 2,11,wind
COMBER,15,wind
CRYSLER,1,wind
DILLON RALEIGH WIND,4,wind
EAST LAKE,7,wind
ERIEAU,10,wind
GOSFIELD,5,wind
GOSHEN,3,wind
GOULAIS,11,wind
GRAND RENEWABLE,9,wind
GRAND VALLEY 3,7,wind
GREENWICH,80,wind
HENVEY NORTH,35,wind
HENVEY SOUTH,56,wind
JERICHO,14,wind
K2 WIND,28,wind
KINGSBRIDGE,1,wind
LANDON,4,wind
MCLEANS MOUNTAIN,10,wind
NORTH KENT,8,wind
POINTES AUX ROCHES,5,wind
PORT BURWELL,3,wind
PORTALMA-1,9,wind
PORTALMA-3,10,wind
PRINCE WIND FARM,68,wind
RAILBED SOUTH KENT,23,wind
RIPLEY SOUTH,12,wind
ROMNEY,18,wind
SANDUSK NANTICOKE,7,wind
SHANNON,8,wind
SPENCE TALBOT WIND,7,wind
SUMMERHAVEN,6,wind
UNDERWOOD,19,wind
WEST LINCOLN NRWF,10,wind
WOLFE ISLAND,0,wind
ZURICH GRAND BEND,0,wind
GRAND RENEWABLE,74,solar
KINGSTON SF,45,solar
NANTICOKE SOLAR,21,solar
NORTHLAND SOLAR,13,solar
SOUTHGATE SF,8,solar
STONE MILLS SF,27,solar
WINDSOR AIRPORT SF,35,solar
ATIKOKAN,0,biofuel
CALSTOCK,38,biofuel
TBAY BOWATER,11,biofuel
